hs4,product,complex
4701,Mechanical woodpulp,0.862
3704,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed",0.857
9611,"Date, sealing or numbering stamps and the like, (including devices for printing or embossing labels), designed for operating in the hand; hand-operated composing sticks and hand printing sets incorporating such composing sticks",0.856
9612,"Typewriter or similar ribbons, inked or otherwise prepared for giving impressions, whether or not on spools or in cartridges; ink pads, whether or not inked, with or without boxes",0.853
8423,"Weighing machinery (excluding balances of a sensitivity of 5 cg or better), including weight-operated counting or checking machines; weighing machine weights of all kinds; parts of weighing machinery",0.852
8605,"Railway or tramway passenger coaches, not self- propelled; luggage vans, post office coaches and other special purpose railway or tramway coaches, not self- propelled (excluding those of heading 8604)",0.852
8203,"Files, rasps, pliers (including cutting pliers), pincers, tweezers, metal cutting shears, pipe cutters, bolt cutters, perforating punches and similar hand tools, and base metal parts thereof",0.851
3207,"Prepared pigments, prepared opacifiers and prepared colors, vitrifiable enamels and glazes, engobes (slips), liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry; glass frit and other glass, in the form of p",0.85
8414,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters; parts thereof",0.85
3820,Antifreezing preparations and prepared deicing fluids,0.849
7607,"Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness(excluding any backing) not exceeding 0.2 mm",0.846
5906,"Rubberized textile fabrics, other than those of heading 5902",0.843
9305,Parts and accessories of articles of headings 9301 to 9304,0.839
8463,"Other machine tools for working metal or cermets, without removing material",0.837
8714,Parts and accessories of vehicles of headings 8711 to 8713,0.837
3926,Other articles of plastics and articles of other materials of headings 3901 to 3914,0.834
8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data,including apparatus for communication in a wired or wireless network (such as a loc",0.832
5605,"Metalized yarn, whether or not gimped, being textile yarn, or strip or the like of heading 5404 or 5405, combined with metal in the form of thread, strip or powder or covered with metal:",0.829
3601,Propellant powders,0.826
9201,"Pianos, including player pianos; harpsichords and other keyboard stringed instruments",0.825
3404,Artificial waxes and prepared waxes,0.824
7611,"Aluminium reservoirs,vats, tanks, etc, volume >300l",0.823
8538,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537",0.818
4009,"Tubes, pipes and hoses, of vulcanized rubber other than hard rubber, with or without their fittings (for example, joints, elbows, flanges)",0.816
7508,Other articles of nickel,0.812
9307,"Swords, cutlasses, bayonets, lances and similar arms and parts thereof and scabbards and sheaths therefor",0.81
8706,"Chassis fitted with engines, for the motor vehicles of headings 8701 to 8705:",0.803
8210,"Hand-operated mechanical appliances, weighing 10 kg or less, used in the preparation, conditioning or serving of food or drink, and base metal parts thereof",0.798
2917,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",0.797
8417,"Industrial or laboratory furnaces and ovens, including incinerators, nonelectric, and parts thereof",0.796
7305,"Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross sections, the external diameter of which exceeds 406.4 mm, of iron or steel",0.796
8503,Parts suitable for use solely or principally with the machines of heading8501 or 8502:,0.791
8411,"Turbojets, turbo propellers and other gas turbines, and parts thereof",0.788
8303,"Armored or reinforced safes, strong-boxes and doors and safe deposit lockers for strong-rooms, cash or deed boxes and the like, and parts thereof, of base metal",0.785
5602,"Felt, whether or not impregnated, coated, covered or laminated",0.784
2821,Iron oxides and hydroxides; earth colors containing 70 percent or more by weight of combined iron evaluated as Fe2O3,0.784
8422,"Dishwashing machines; machinery for cleaning or drying bottles or other containers; machinery for filling, closing, sealing or labeling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; ot",0.781
9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments; parts and accessories thereof",0.781
3505,"Dextrins and other modified starches (for example, pregelatinized or esterified starches); glues based on starches, or on dextrins or other modified starches",0.781
3212,"Pigments (including metallic powders and flakes) dispersed in nonaqueous media, in liquid or paste form, of a kind used in the manufacture of paints (including enamels); stamping foils; dyes and other coloring matter put up in forms or packings for retail",0.78
9023,"Instruments, apparatus and models, designed for demonstrational purposes (for example, in education or exhibitions), unsuitable for other uses, and parts and accessories thereof",0.775
8305,"Fittings for looseleaf binders or files, letter clips, letter corners, paper clips,indexing tags and similar office articles, and parts thereof, of base metal; staples in strips (for example, for offices, upholstery, packaging), of base metal",0.772
9104,"Instrument panel clocks and clocks of a similar type for vehicles, aircraft, spacecraft or vessels:",0.772
7007,"Safety glass, consisting of toughened (tempered) or laminated glass",0.772
8519,Sound recording or reproducing apparatus,0.771
9001,"Optical fibers and optical fiber bundles; optical fiber cables other than those of heading 8544; sheets and plates of polarizing material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any material, unmounted, other tha",0.77
7008,Multiple-walled insulating units of glass,0.768
7212,"Flat-rolled products of iron or nonalloy steel, of a width of less than 600 mm, clad, plated or coated",0.766
3903,"Polymers of styrene, in primary forms",0.766
4902,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising material",0.763
3005,"Wadding, gauze, bandages and similar articles (for example, dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical, dental or veterinary purposes",0.763
5405,"Artificial monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of artificial textile materials of an apparent width not exceeding 5 mm:",0.763
8301,"Padlocks and locks (key,combination or electrically operated), of base metal; clasps and frames with clasps, incorporating locks, of base metal; keys and parts of any of the foregoing articles, of base metal",0.762
8429,"Self-propelled bulldozers, angledozers, graders, levelers, scrapers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers",0.759
5007,Woven fabrics of silk or of silk waste,0.757
7616,Other articles of aluminum,0.752
3811,"Antiknock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive preparations and other prepared additives, for mineral oils (including gasoline) or for other liquids used for the same purposes as mineral oils",0.751
1501,"Lard, other pig fat and poultry fat, rendered",0.75
4811,"Paper, paperboard, cellulose wadding and webs of cellulose fibers, coated, impregnated, covered, surface-colored, surface-decorated or printed, in rolls or rectangular (including square) sheets, of any size, other than goods of the kind described in headi",0.749
3206,"Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined",0.748
8509,"Electromechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 8508; parts thereof",0.744
6906,"Ceramic pipes, conduits, guttering and pipe fittings",0.744
8529,Parts suitable for use solely or principally with the apparatus of headings8525 to 8528,0.74
3921,"Other plates, sheets, film, foil and strip, of plastics",0.739
3004,"Medicaments (excluding goods of heading 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or packings",0.738
4905,"Maps and hydrographic or similar charts of all kinds, including atlases, wall maps, topographical plans and globes, printed",0.733
3006,Pharmaceutical goods specified in note 4 to this chapter,0.733
7606,"Aluminum plates, sheets and strip, of a thickness exceeding 0.2 mm",0.732
3801,"Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semimanufactures",0.732
4908,Transfers (decalcomanias),0.731
8404,"Auxiliary plant for use with boilers of heading 8402 or 8403 (for example, economizers, super-heaters, soot removers, gas recoverers); condensers for steam or other vapor power units; parts thereof",0.73
6806,"Slag wool, rock wool and similar mineral wools; exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials; mixtures and articles of heat-insulating, sound-insulating or sound-absorbing mineral materials, other than those o",0.727
5902,"Tire cord fabric of high tenacity yarn of nylon or other poly- amides, polyesters or viscose rayon",0.723
9004,"Spectacles, goggles and the like, corrective, protective or other",0.721
8536,"Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, relays, fuses, surge suppressors, plugs, sockets, lamp-holders and other connectors, junction boxes), for",0.718
8537,"Boards, panels, consoles,desks, cabinets and other bases, equipped with two or more apparatus of heading 8535 or 8536,for electric control or the distribution of electricity, including those incorporating instruments or apparatus of chapter 90, and numeri",0.715
9402,"Medical, surgical, dental or veterinary furniture (for example, operating tables, examination tables, hospital beds with mechanical fittings, dentists' chairs); barbers' chairs and similar chairs, having rotating as well as both reclining and elevating mo",0.712
2923,"Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined",0.71
2924,Carboxyamide-function compounds; amide-function compounds of carbonic acid,0.704
5506,"Synthetic staple fibers, carded, combed or otherwise processed for spinning",0.701
5309,Woven fabrics of flax,0.701
9114,Other clock or watch parts,0.701
8402,Steam or other vapor generating boilers (other than central heating hot water boilers capable also of producing low pressure steam); super-heated water boilers; parts thereof,0.701
8003,"Tin bars, rods, profiles and wire",0.7
7411,Copper tubes and pipes,0.699
9504,"Articles for arcade, table or parlor games, including pinball machines, bagatelle, billiards and special tables for casino games; automatic bowling alley equipment; parts and accessories thereof",0.699
8704,Motor vehicles for the transport of goods,0.697
3904,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms",0.693
8716,"Trailers and semi-trailers; other vehicles, not mechanically propelled; and parts thereof",0.686
8205,"Hand tools (including glass cutters) not elsewhere specified or included; blowtorches and similar self-contained torches; vises, clamps and the like, other than accessories for and parts of machine tools; anvils; portable forges; hand- or pedal-operated g",0.683
8545,"Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbon, with or without metal, of a kind used for electrical purposes",0.678
8701,Tractors (other than tractors of heading 8709),0.677
4016,Other articles of vulcanized rubber other than hard rubber,0.675
8525,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders",0.674
8502,Electric generating sets and rotary converters,0.674
8803,Parts of goods of heading 8801or 8802,0.668
3816,"Refractory cements, mortars, concretes except graphite",0.66
4802,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non perforated punch-cards and punch tape paper, in rolls or rectangular (including square) sheets, of any size, other than paper of heading 4801 or 4803; h",0.659
5005,Yarn spun from silk waste not put up for retail sale,0.654
8311,"Wire, rods, tubes, plates, electrodes and similar products of base metal or of metal carbides,coated or cored with flux material, of a kind used for soldering, brazing, welding or deposition of metal or of metal carbides; wire and rods, of agglomerated ba",0.653
9109,"Clock movements, complete and assembled",0.652
4903,"Children's picture, drawing or coloring books",0.65
3912,"Cellulose and its chemical derivatives, not elsewhere specified or included, in primary forms",0.649
3804,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulfonates, but excluding tall oil of heading 3803",0.647
9302,Revolvers and pistols,0.646
6902,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods, other than those of siliceous fossil meals or similar siliceous earths",0.646
8713,"Carriages for disabled persons, whether or not motorized or otherwise mechanically propelled",0.645
9306,"Bombs, grenades, torpedoes,mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridge wads",0.644
8213,"Scissors, tailors' shears and similar shears, and blades and other base metal parts thereof:",0.643
8518,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones,whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric ampli",0.643
1109,"Wheat gluten, whether or not dried",0.639
4814,Wallpaper and similar wallcoverings; window transparencies of paper,0.638
8405,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers; parts thereof",0.634
5704,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up",0.631
4702,Sulfate or soda,0.631
4809,"Carbon paper, self-copy paper and other copying or transfer papers (including coated or impregnated paper for duplicator stencils or offset plates), whether or not printed, in rolls or sheets",0.63
8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps, other than the air conditioning machines of heading 8415; parts thereof",0.63
8608,"Railway or tramway track fixtures and fittings; mechanical (including electro-mechanical) signaling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields; parts of the for",0.627
9208,"Musicboxes, fairground organs, mechanical street organs, mechanical singing birds, musical saws and other musical instruments not falling within any other heading of this chapter; decoy calls of all kinds; whistles, call horns and other mouth-blown sound",0.626
9007,"Cinematographic cameras and projectors, whether or not incorporating sound recording or reproducing apparatus; parts and accessories thereof",0.626
3922,"Baths, shower baths, sinks, washbasins, bidets, lavatory pans, seats and covers, flushing cisterns and similar sanitary ware, of plastics",0.624
3304,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure preparations",0.622
9020,"Other breathing appliances and gas masks, excluding protective masks having neither mechanical parts nor replaceable filters; parts and accessories thereof:",0.62
7322,"Radiators for central heating, not electrically heated, and parts thereof, of iron or steel; air heaters and hot air distributors (including distributors which can also distribute fresh or conditioned air), not electrically heated, incorporating a motor-d",0.62
8601,Rail locomotives powered from an external source of electricity or by electric accumulators (batteries),0.619
2901,Acyclic hydrocarbons,0.617
9103,"Clocks with watch movements, excluding clocks of heading 9104",0.611
2848,"Phosphides, whether or not chemically defined, excluding ferrophosphorus",0.611
8450,"Household- or laundry-type washing machines, including machines which both wash and dry; parts thereof",0.61
8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports ground rollers; parts thereof",0.606
103,Live swine,0.598
404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",0.598
8434,"Milking machines and dairy machinery, and parts thereof",0.597
7019,"Glass fibers (including glass wool) and articles thereof (for example, yarn, woven fabrics)",0.595
5606,"Gimp yarn & strip, synthetic or artificial monofilament",0.589
8607,Parts of railway or tramway locomotives or rolling stock,0.589
8308,"Clasps, frames with clasps, buckles, buckle clasps, hooks, eyes, eyelets and the like and parts thereof, of base metal, of a kind used for clothing, footwear, awnings, handbags,travel goods or other made up articles; tubular or bifurcated rivets of base m",0.586
9111,Watch cases and parts thereof,0.586
5404,"Synthetic monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of synthetic textile materials of an apparent width not exceeding 5 mm",0.585
8533,"Electrical resistors (including rheostats and potentiometers), other than heating resistors; parts thereof",0.585
8453,"Machinery for preparing, tanning or working hides, skins or leather or for making or repairing footwear or other articles of hides, skins or leather, other than sewing machines; parts thereof",0.584
7011,"Glass envelopes (including bulbs and tubes), open, and glass parts thereof, without fittings, for electric lamps, cathode-ray tubes or the like",0.583
7907,Other articles of zinc:,0.583
8504,"Electrical transformers, static converters (for example, rectifiers) and inductors; parts thereof",0.581
9608,"Ball point pens; felt tipped and other porous-tipped pens and markers;fountain pens, stylograph pens and other pens; duplicating styli; propelling or sliding pencils (for example, mechanical pencils); pen-holders, pencil-holders and similar holders; part",0.575
1503,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared",0.572
9405,"Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like, having a permanently fixed light source, and parts thereof not elsewhere spec",0.564
2826,"Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts",0.563
5502,Artificial filament tow,0.563
2831,Dithionites and sulfoxylates,0.56
9506,"Articles and equipment for general physical exercise,gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this chapter; swimming pools and wading pools; parts and accessories thereof",0.558
4906,"Plans and drawings for architectural, engineering, industrial, commercial, topographical or similar purposes, being originals drawn by hand; handwritten texts; photographic reproductions on sensitized paper and carbon copies of the foregoing",0.557
9101,"Wrist watches, pocket watches and other watches, including stop watches, with case of precious metal or of metal clad with precious metal",0.554
7302,"Railway or tramway track construction material of iron or steel, the following rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (b",0.553
1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin",0.549
9106,"Time of day recording apparatus and apparatus for measuring,recording or otherwise indicating intervals of time, with clock or watch movement or with synchronous motor (for example, time registers, time-recorders)",0.548
7407,"Copper bars, rods and profiles",0.545
5907,"Textile fabrics otherwise impregnated, coated or covered; painted canvas being theatrical scenery, studio back-cloths or the like:",0.544
5703,"Carpets and other textile floor coverings, tufted, whether or not made up",0.544
8516,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electrothermic hairdressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; elect",0.537
9616,"Scent sprayers and similar toilet sprayers, and mounts and heads therefor; powder puffs and pads for the application of cosmetics or toilet preparations",0.531
7205,"Granules and powders, of pig iron, spiegeleisen, iron or steel",0.531
4911,"Other printed matter, including printed pictures and photographs",0.529
9009,"Electrostatic photo-copyers, direct process",0.529
505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers(whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of fea",0.521
1002,Rye,0.519
8715,Baby carriages (including strollers) and parts thereof,0.516
2707,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents,0.515
8438,"Machinery, not specified or included elsewhere in this chapter, for the industrial preparation or manufacture of food or drink, other than machinery for the extraction or preparation of animal or fixed vegetable fats or oils; parts thereof",0.513
5107,"Yarn of combed wool, not put up for retail sale",0.513
3003,"Medicaments (excluding goods of heading 3002, 3005 or 3006) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale",0.511
5403,"Artificial filament yarn (other than sewing thread), not put up for retail sale, including artificial monofilament of less than 67 decitex",0.509
3703,"Photographic paper, paperboard and textiles, sensitized, unexposed",0.507
8711,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars",0.505
2909,"Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulfonated, nitrated or nitrosated derivatives",0.498
4805,"Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in note 3 to this chapter",0.496
5905,Textile wall coverings:,0.496
8520,Magnetic Tape Recorders and Other Sound Recording Apparatus,0.495
3302,"Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind used for the manufa",0.495
5112,Woven fabrics of combed wool or of combed fine animal hair,0.481
7208,"Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated",0.48
9303,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shot-guns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for fi",0.479
7115,Other articles of precious metal or of metal clad with precious metal,0.477
7211,"Flat-rolled products of iron or nonalloy steel, of a width of less than 600 mm, not clad, plated or coated",0.477
3215,"Printing ink, writing or drawing ink and other inks, whether or not concentrated or solid",0.476
3809,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and other products and preparations (for example, dressings and mordants), of a kind used in the textile, paper, leather or like industries, not elsewhere specified or included",0.473
8535,"Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, fuses, lightning arresters, voltage limiters, surge suppressors, plugs and other connectors, junction boxe",0.473
5301,"Flax, raw or processed but not spun; flax tow and waste (including yarn waste and garnetted stock)",0.47
6506,"Other headgear, whether or not lined or trimmed",0.462
8214,"Other articles of cutlery (for example, hair clippers, butchers' or kitchen cleavers, chopping or mincing knives, paper knives);manicure or pedicure sets and instruments (including nail files); base metal parts thereof",0.459
7117,Imitation jewelry,0.457
8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated; parts thereof",0.454
8446,Weaving machines (looms),0.452
5504,"Artificial staple fibers, not carded, combed or otherwise processed for spinning",0.451
7215,Other bars and rods of iron or nonalloy steel,0.448
8511,"Electrical ignition or starting equipment of a kind used for spark-ignition or compression-ignition internal combustion engines (for example, ignition magnetos, magneto-dynamos, ignition coils, spark plugs and glow plugs, starter motors); generators (for",0.446
7503,Nickel waste and scrap,0.441
8425,Pulley tackle and hoists other than skip hoists; winches and capstans; jacks,0.437
4823,"Other paper, paperboard, cellulose wadding and webs of cellulose fibers, cut to size or shape; other articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibers",0.436
4011,"New pneumatic tires, of rubber",0.436
5604,"Rubber thread and cord, textile covered; textile yarn, and strip and the like of heading 5404 or 5405, impregnated, coated, covered or sheathed with rubber or plastics",0.436
7904,"Zinc bars, rods, profiles and wire",0.434
6603,"Parts, trimmings and accessories of articles of heading 6601 or 6602",0.423
7610,"Aluminum structures (excluding prefabricated buildings of heading 9406) and parts of structures (for example, bridges and bridge-sections, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, balus",0.422
2827,"Chlorides, chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides",0.422
8469,Typewriters other than printers of heading 8443; word processing machines,0.422
7324,"Sanitary ware and parts thereof, of iron or steel",0.419
8506,Primary cells and primary batteries; parts thereof,0.417
8527,"Reception apparatus for radio broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock",0.416
3920,"Other plates, sheets, film, foil and strip, of plastics, noncellular and not reinforced, laminated, supported or similarly combined with other materials",0.416
4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",0.415
8540,"Thermionic, cold cathode or photocathode tubes (for example, vacuum or vaporor gas filled tubes, mercury arc rectifying tubes, cathode-ray tubes, television camera tubes);parts thereof",0.413
4014,"Hygienic or pharmaceutical articles (including nursing nipples), of vulcanized rubber other than hard rubber, with or without fittings of hard rubber",0.411
4807,"Composite paper and paperboard (made by sticking flat layers of paper or paperboard together with an adhesive), not surface-coated or impregnated, whether or not internally reinforced, in rolls or sheets",0.411
5503,"Synthetic staple fibers, not carded, combed or otherwise processed for spinning",0.404
408,"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, molded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter",0.403
2918,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",0.402
8111,"Manganese and articles thereof, including waste and scrap:",0.386
9301,"Military weapons, other than revolvers, pistols and the arms of heading 9307",0.385
4704,"Chemical woodpulp, sulfite, other than dissolving grades",0.382
3916,"Monofilament of which any cross-sectional dimension exceeds 1 mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked, of plastics",0.375
6808,"Panels, boards, tiles, blocks and similar articles of vegetable fiber, of straw or of shavings, chips, particles, sawdust or other waste, of wood, agglomerated with cement, plaster or other mineral binders",0.374
8470,"Calculating machines and pocket-size data recording, reproducing and displaying machines with calculating functions; accounting machines, postage-franking machines, ticket-issuing machines and similar machines, incorporating a calculating device; cash registers",0.373
7013,"Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018)",0.372
5801,"Woven pile fabrics and chenille fabrics, other than fabrics of heading 5802 or 5806",0.371
3303,Perfumes and toilet waters,0.369
7321,"Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas rings, plate warmers and similar nonelectric domestic appliances, and parts thereof, of iron or steel",0.368
7308,"Structures (excluding prefabricated buildings of heading 9406) and parts of structures (for example, bridges and bridge sections, lock gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, sh",0.365
7325,Other cast articles of iron or steel,0.364
5904,"Linoleum, whether or not cut to shape; floor coverings consisting of a coating or covering applied on a textile backing, whether or not cut to shape",0.364
6811,"Articles of asbestos-cement, of cellulose fiber-cement or the like",0.361
1514,"Rapeseed, colza or mustard oil, and fractions thereof, whether or not refined, but not chemically modified",0.359
8215,"Spoons, forks, ladles,skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware;and base metal parts thereof",0.357
7227,"Bars and rods, hot-rolled, in irregularly wound coils, of other alloy steel",0.356
2808,Sulfonitric acids,0.356
7418,"Table, kitchen or other household articles and parts thereof, of copper; pot scourers and scouring or polishing pads, gloves and the like, of copper; sanitary ware and parts thereof, of copper",0.354
8201,"Hand tools of the following kinds and base metal parts thereof spades, shovels, mattocks, picks, hoes, forks and rakes; axes,bill hooks and similar hewing tools; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges",0.352
5111,Woven fabrics of carded wool or of carded fine animal hair,0.348
9403,Other furniture and parts thereof,0.348
9617,"Vacuum flasks and other vacuum vessels, complete with cases; parts thereof other than glass inners:",0.344
8112,"Beryllium, chromium,germanium, vanadium, gallium, hafnium, indium, niobium (columbium), rhenium and thallium,and articles of these metals, including waste and scrap",0.334
8702,"Motor vehicles for the transport of ten or more persons, including the driver",0.329
6001,"Pile fabrics, including long pile fabrics and terry fabrics, knitted or crocheted",0.325
8307,"Flexible tubing of base metal,with or without fittings",0.322
8108,"Titanium and articles thereof, including waste and scrap",0.321
5402,"Synthetic filament yarn (other than sewing thread), not put up for retail sale, including synthetic monofilament of less than 67 decitex",0.318
3803,"Tall oil, whether or not refined",0.318
7228,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel",0.316
4007,Vulcanized rubber thread and cord,0.314
209,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",0.314
8801,"Gliders, hang gliders",0.311
4804,"Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 4802 or 4803",0.311
5507,"Artificial staple fibers, carded, combed or otherwise processed for spinning",0.307
2840,Borates; peroxoborates (perborates),0.306
8309,"Stoppers, caps and lids (including crown corks, screw caps and pouring stoppers),capsules for bottles, threaded bungs, bung covers, seals and other packing accessories, and parts thereof, of base metal",0.302
4405,Wood wool (excelsior); wood flour,0.299
3604,"Fireworks, signaling flares, rain rockets, fog signals and other pyrotechnic articles",0.294
2815,Sodium hydroxide (Caustic soda); potassium hydroxide (Caustic potash); peroxides of sodium or potassium,0.292
3501,"Casein, caseinates and other casein derivatives; casein glues",0.291
4904,"Music, printed or in manuscript",0.29
3606,Ferrocerium and other pyrophoric alloys in all forms; articles of combustible materials as specified in note 2 to this chapter,0.289
4003,"Reclaimed rubber in primary forms or in plates, sheets or strip",0.286
9102,"Wrist watches, pocket watches and other watches, including stopwatches, other than those of heading 9101",0.286
8435,"Presses, crushers and similar machinery, used in the manufacture of wine, cider, fruit juices or similar beverages; parts thereof",0.283
8478,"Machinery for preparing or making up tobacco, not specified or included elsewhere in this chapter; parts thereof",0.28
9613,"Cigarette lighters and other lighters, whether or not mechanical or electrical, and parts thereof other than flints and wicks",0.279
2939,"Vegetable alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives",0.277
8513,"Portable electric lamps designed to function by their own source of energy (for example, dry batteries, storage batteries, magnetos), other than lighting equipment of heading8512; parts thereof",0.273
6810,"Articles of cement, of concrete or of artificial stone, whether or not reinforced",0.271
3208,"Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a nonaqueous medium; solutions as defined in note 4 to this chapter",0.271
